Type d'acte;Année;Arrondissement;Nombres
Mariages;2012;8ème arrdt;196
Naissances;2008;16ème arrdt;1179
Naissances;2004;4ème arrdt;5
Reconnaissances;2004;18ème arrdt;1991
Mariage;2014;10ème arrdt;452
Naissances;2005;8ème arrdt;0
Reconnaissances;2013;9ème arrdt;211
Reconnaissances;2010;12ème arrdt;845
Reconnaissances;2005;8ème arrdt;139
Décès;2010;10ème arrdt;1344
Décès;2009;2ème arrdt;42
Décès;2009;18ème arrdt;1411
Décès;2005;18ème arrdt;1428
Mariages;2013;2ème arrdt;127
Mariages;2013;4ème arrdt;158
Naissances;2011;7ème arrdt;1
Décès;2004;7ème arrdt;231
Mariages;2011;19ème arrdt;916
Mariages;2010;14ème arrdt;588
Mariages;2010;17ème arrdt;563
Naissances;2010;16ème arrdt;1602
Naissances;2005;13ème arrdt;3601
Décès;2014;6ème arrdt;106
Mariages;2013;9ème arrdt;303
Mariages;2006;2ème arrdt;119
Mariages;2005;16ème arrdt;803
Naissances;2009;2ème arrdt;1
Reconnaissances;2011;12ème arrdt;740
Reconnaissances;2007;5ème arrdt;150
Reconnaissances;2005;10ème arrdt;913
Reconnaissances;2014;4ème arrdt;96
Naissances;2013;5ème arrdt;1
Naissances;2009;8ème arrdt;1
Décès;2006;10ème arrdt;1433
Mariages;2009;11ème arrdt;619
Naissances;2008;7ème arrdt;5
Naissances;2004;18ème arrdt;2434
Reconnaissances;2012;14ème arrdt;724
Reconnaissances;2004;12ème arrdt;1980
Décès;2007;8ème arrdt;122
Décès;2007;1er arrdt;44
Décès;2005;10ème arrdt;1414
Mariages;2005;2ème arrdt;150
Mariages;2004;10ème arrdt;634
Mariages;2004;9ème arrdt;329
Naissances;2013;7ème arrdt;1
Naissances;2006;7ème arrdt;0
Reconnaissances;2005;3ème arrdt;182
Naissances;2006;10ème arrdt;2312
Reconnaissances;2007;18ème arrdt;1374
Décès;2009;13ème arrdt;2056
Mariages;2008;18ème arrdt;784
Mariages;2006;3ème arrdt;235
Mariages;2004;19ème arrdt;1170
Naissances;2011;9ème arrdt;3
Décès;2013;20ème arrdt;1134
Décès;2013;17ème arrdt;389
Décès;2007;13ème arrdt;1918
Décès;2006;4ème arrdt;349
Mariages;2010;2ème arrdt;132
Mariages;2009;7ème arrdt;259
Mariages;2005;15ème arrdt;1101
Mariage;2014;5ème arrdt;270
Décès;2009;4ème arrdt;301
Mariages;2011;13ème arrdt;680
Mariages;2009;2ème arrdt;118
Mariages;2009;10ème arrdt;428
Mariages;2008;2ème arrdt;112
Mariages;2006;7ème arrdt;284
Naissances;2007;1er arrdt;2
Reconnaissances;2008;16ème arrdt;298
Décès;2014;13ème arrdt;2042
Décès;2010;3ème arrdt;50
Décès;2006;5ème arrdt;533
Mariages;2011;17ème arrdt;498
Mariages;2009;12ème arrdt;508
Reconnaissances;2012;4ème arrdt;93
Reconnaissances;2010;1er arrdt;68
Reconnaissances;2005;19ème arrdt;1650
Mariage;2014;8ème arrdt;221
Décès;2013;19ème arrdt;1160
Décès;2013;10ème arrdt;1364
Décès;2010;2ème arrdt;38
Décès;2008;12ème arrdt;1534
Décès;2004;15ème arrdt;2744
Mariages;2005;20ème arrdt;980
Reconnaissances;2013;2ème arrdt;84
Reconnaissances;2009;5ème arrdt;152
Reconnaissances;2005;4ème arrdt;137
Reconnaissances;2004;6ème arrdt;136
Reconnaissances;2004;1er arrdt;79
Naissances;2008;5ème arrdt;1
Reconnaissances;2013;13ème arrdt;934
Reconnaissances;2007;7ème arrdt;105
Naissance;2014;7ème arrdt;0
Décès;2012;4ème arrdt;248
Décès;2007;17ème arrdt;386
Mariages;2012;15ème arrdt;996
Mariages;2005;14ème arrdt;663
Mariages;2004;17ème arrdt;633
Naissances;2010;12ème arrdt;10226
Décès;2013;13ème arrdt;2200
Décès;2011;14ème arrdt;1973
Décès;2005;1er arrdt;35
Mariages;2013;3ème arrdt;250
Mariages;2010;5ème arrdt;287
Naissances;2013;9ème arrdt;2
Naissances;2010;1er arrdt;1
Naissances;2006;16ème arrdt;1134
Naissances;2006;20ème arrdt;2115
Reconnaissances;2011;7ème arrdt;96
Reconnaissances;2011;8ème arrdt;106
Reconnaissances;2005;14ème arrdt;1073
Naissance;2014;2ème arrdt;0
Naissance;2014;20ème arrdt;2608
Décès;2004;5ème arrdt;623
Mariages;2011;7ème arrdt;247
Mariages;2010;6ème arrdt;206
Mariages;2010;15ème arrdt;924
Naissances;2011;16ème arrdt;1345
Naissances;2008;19ème arrdt;2953
Reconnaissances;2011;19ème arrdt;1104
Reconnaissances;2010;13ème arrdt;938
Reconnaissances;2006;9ème arrdt;311
Reconnaissances;2004;17ème arrdt;918
Décès;2014;10ème arrdt;1348
Décès;2011;1er arrdt;47
Décès;2005;6ème arrdt;114
Mariages;2009;13ème arrdt;778
Mariages;2008;15ème arrdt;953
Naissances;2007;16ème arrdt;1054
Naissances;2006;3ème arrdt;2
Naissances;2006;5ème arrdt;3
Reconnaissances;2013;16ème arrdt;283
Reconnaissances;2010;3ème arrdt;137
Reconnaissances;2009;2ème arrdt;96
Reconnaissances;2005;6ème arrdt;120
Naissance;2014;8ème arrdt;4
Décès;2013;16ème arrdt;1007
Mariages;2009;6ème arrdt;197
Mariages;2008;12ème arrdt;542
Naissances;2010;14ème arrdt;10235
Reconnaissances;2010;2ème arrdt;93
Reconnaissances;2010;19ème arrdt;1040
